Atomic Radius(Atomic unit),Expansion Coefficient,Electron Affinity(-ive),Conductivity,Yield Strength,Outcome
1.26,0.005,56,3.75,23.2,1
1.26,0.003,56,3.35,24.27906977,1
1.26,0.004,41,54.18,113.6363636,1
1.26,0.005,41,36.38,104.1666667,1
1.2,0.005,43,25.76,61.15384615,1
1.32,0.006,55,4.98,138.9928058,1
1.32,0.006,52,4.92,68.02816901,1
1.32,0.006,58,3.9,64.47761194,1
1.32,0.005,64,2.52,10.0075188,2
1.32,0.005,51,8.61,50.88129496,1
1.29,0.005,64,2.12,20.56060606,2
1.29,0.004,65,1.56,6.734848485,3
1.43,0,65,1.95,21.3877551,2
1.43,0,70,1.53,12.47297297,2
1.42,0,55,7.32,26.04081633,1
1.28,0.003,52,4.02,47.00719424,1
1.28,0.003,54,3.9,62.67625899,1
1.29,0.002,55,6.18,41.84285714,2

1.2,0.004,50,5.04,180.48,1
1.2,0.005,50,4.27,248.16,1
1.2,0.004,53,4.86,35.264,1
1.2,0.005,45,6.96,486.0952381,1
1.2,0.005,51,4.5,70.528,1
1.24,0.008,41,12.09,80.3053716,1
1.29,0.003,44,5.2,183.8184932,1
1.29,0.004,40,10.5,72.75666667,1
1.29,0.007,40,11.9,61.77336277,1
1.23,0.004,39,44.73,84.78405316,1
1.23,0.003,39,24,62.11538462,1
1.2,0.002,41,55.44,209.3293651,1
1.2,0,39,33.63,126.9767442,1
1.39,0.003,54,5.11,133.9795918,1
1.39,0.004,61,2.56,15.85135135,2
1.42,0.005,28,13.02,373.192446,1
1.42,0.003,14,0,353.8819876,1
1.42,0.005,23,6.84,324.4444444,1
1.42,0.005,29,7.56,278.4172662,1
1.42,0.007,25,7.75,427.9457769,1
1.34,0,79,1.1,16,2
1.34,0,81,0.98,15.17647059,3
1.34,0,83,0.7,10.51470588,3
1.34,0,79,1.1,16,3
1.3,0,56,3.6,52.08333333,1
1.3,0,56,3.75,26.98863636,1
1.3,0,59,2.72,78.94736842,1
1.3,0,59,2.64,29.82954545,1
1.29,0,47,24.09,95.5959596,1
1.29,0,48,10.08,106.5,1
1.29,0,61,6.48,51.10633727,1

1.29,0,61,2.68,106.2428571,1
1.29,0,61,2.32,100.9784173,1

1.29,0,59,17.46,25.26520681,1
1.41,0,67,3.68,38.18181818,2
1.41,0,76,0.86,11.32394366,2
1.41,0,61,2.12,12.10344828,2
1.35,0,67,1.84,18.44927536,3
1.35,0,68,1.17,9.637681159,3
1.34,0,81,0.26,2.933823529,3
1.34,0,80,0.26,2.933823529,3
1.3,0,78,0.4,7.424242424,3
1.3,0,74,1,32.0610687,2
1.3,0,79,0.34,5.816793893,3
1.3,0,75,0.63,16.03053435,2
1.37,0.001,77,1.32,52.24113475,2
1.37,0.001,75,1.38,21.77142857,2
1.37,0.001,75,1.4,21.77142857,2
1.37,0.001,75,1.42,21.92805755,2
1.28,0,73,1.46,80.72180451,2
1.28,0,73,2.13,40.97709924,2
1.28,0,78,1.36,23.98888889,2
1.28,0,74,1.38,40.66666667,2
1.33,0,69,4,53.76642336,2
1.33,0,72,2.64,54.11764706,2
1.17,0,53,8.4,23.37127371,1
1.17,0,51,10.64,20.86451613,1
1.23,0,52,12.32,24.72527473,1
1.23,0,52,11.44,31.98461538,1
1.23,0,56,5.18,54.8759542,1
1.23,0,50,13.32,31.35824176,1
1.23,0,50,13.32,31.35824176,1
1.46,0.005,55,5.74,78.12,1
1.46,0.005,52,6.88,147.8145695,1
1.46,0.006,49,7.83,182.2516556,1
1.46,0.004,64,2.88,17.35333333,2
1.46,0.003,66,2.8,34.96,2
1.46,0.003,65,2.8,34.47682119,2
1.46,0.003,65,2.8,34.47682119,2
1.46,0.005,65,2.64,12.92982456,2

1.46,0.005,65,2.8,12.34210526,2
1.46,0.006,65,2.96,53.24503311,2
1.46,0.005,27,12.16,307.4648276,1
1.46,0.005,28,20.91,361.2785388,1
1.46,0.001,50,5.46,65.73248408,1
1.46,0.001,53,4.1,34.86075949,1
1.46,0.001,53,4.1,34.86075949,2
1.46,0.003,42,7.5,426.4615385,1
1.46,0.002,61,2.72,20.29299363,2
1.46,0.002,53,5.67,93.89423077,2
1.46,0.003,37,9.36,565.1538462,1
1.46,0.004,38,8.28,464.0506329,1
1.46,0.004,31,9.75,1753.230769,1
1.46,0.003,28,10.24,357.218543,1
1.46,0.004,28,9.38,274.8344371,1
1.46,0.004,28,9.38,234.1721854,1
1.52,0.002,60,3.2,43.2,2
1.52,0.002,59,4.55,43.2,1
1.52,0.003,61,2.44,18.275,2
1.52,0.002,60,2.84,18.275,2
1.52,0.004,62,1.56,9.5,2
1.52,0.005,60,1.6,12.1875,2
1.52,0.003,61,2.32,12.5625,3
1.52,0.002,61,2.68,15.759375,3

1.52,0.005,58,3.55,46.41719745,1
1.52,0.005,55,4.02,60.15189873,1
1.52,0.004,59,4.75,30.11320755,2
1.52,0.004,58,3.75,62.65822785,1
1.52,0.004,57,4.08,55.34810127,1
1.52,0.002,61,1.7,47.77689873,2
1.52,0.007,56,4.08,77.42307692,1
1.52,0.005,57,4.35,15.66149068,1
1.28,0.003,23,11.04,329.6527778,1
1.28,0.002,16,12.21,215.0073529,1
1.28,0.002,20,34.32,1023.661972,1
1.28,0.003,26,12.54,1130.890411,1
1.38,0.005,45,4.55,20.83687943,1
1.38,0.005,45,4.69,20.83687943,2
1.38,0.004,46,5.46,23.44148936,1
1.38,0.003,42,6.24,20.69014085,1
1.38,0.004,42,5.04,31.03521127,1
1.38,0.003,44,3.06,17.3943662,2
1.38,0.003,43,3.24,17.3943662,1
1.38,0.003,39,8.4,14.49295775,1
1.38,0.004,39,8.72,14.39160839,1
1.38,0.003,40,8.64,14.39160839,1
1.38,0.004,41,8.24,28.08566434,1
1.38,0.004,41,8.24,28.08566434,1

1.38,0.004,39,7.28,21.06993007,1
1.38,0.001,41,5.46,22.87234043,1
1.38,0.002,44,3.5,14.53521127,1
1.42,0.004,45,6.23,45.20547945,1
1.42,0.004,43,7.68,45.20547945,1
1.42,0.004,44,8.88,82.28571429,1

1.42,0.004,39,10.8,136.3758389,1
1.42,0.004,46,4.13,46.10666667,1
1.42,0.004,36,12,27.71917808,1
1.42,0.005,44,4.97,8.198198198,1

1.42,0.003,38,10.26,163.6510067,1
1.42,0.004,49,4.26,15.86666667,1
1.42,0.006,43,5.04,8.198198198,1
1.42,0.007,44,5.11,15.67905405,1
1.36,0.005,42,2.8,63.33333333,1
1.36,0.007,42,3.01,63.33333333,1
1.36,0.004,42,3.15,47.83216783,1
1.36,0.005,42,3.15,20.84507042,1
1.36,0.005,44,2.87,44.95774648,1
1.36,0.005,44,4.97,23.95774648,1
1.35,0.005,42,6.8,18.99530516,1
1.35,0.006,41,7.6,28.49295775,1
1.36,0.005,40,8.24,44.625,1
1.36,0.006,39,10.08,108.5395683,1
1.36,0.005,37,10.89,45.19148936,1
1.36,0.004,37,10.53,53.88214286,1
1.36,0.007,39,11.34,21.47619048,1
1.36,0.005,36,9.36,25.68571429,1
1.36,0.005,37,7.92,19.48571429,1
1.36,0.004,39,5.28,14.5106383,1
1.36,0.002,44,3.71,11.4084507,1
1.36,0.006,45,2.58,9.031690141,1
1.36,0.005,51,3.1,14.0625,1
1.36,0.004,52,3.05,13.13103448,1
1.36,0.003,46,2.82,17.23943662,1
1.36,0.005,47,3.18,17.23943662,1
1.36,0.004,51,3.72,11.33333333,1
1.36,0.004,43,3.64,7.072769953,1
1.44,0.006,38,6.96,48.56375839,1

1.44,0.006,32,13.2,93.34228188,1

1.44,0.006,32,15.12,101.79,1
1.44,0.005,29,25.34,150.8,1
1.44,0.007,26,33.28,217.36,1
1.44,0.007,22,38.34,198.5306122,1
1.46,0.008,28,33.45,75.44,1
1.46,0.007,30,22.88,65.97972973,1
1.46,0.007,30,5.17,79.46938776,1
1.46,0.005,29,8.4,178.0939597,1
1.46,0.005,29,9.75,184.8,1
1.46,0.007,28,8.97,50.32258065,1
1.46,0.008,27,12.22,74.63694268,1
1.46,0,19,51,237.5856164,1
1.46,0.002,25,28,199.7368421,1
1.46,0.005,27,21.6,76.00645161,1
1.22,0.001,40,5.6,78.64516129,1
1.22,0.001,37,7.52,26.34677419,1
1.22,0.003,32,10.44,66.39784946,1
1.22,0.002,27,5.12,806.3414634,1
1.22,0.005,33,7.92,130.5,1
1.22,0.003,36,7.7,166.0909091,1
1.22,0.004,39,6.72,60.44628099,1
1.22,0.005,37,8,33.73809524,1
1.22,0.007,31,9.5,52.12903226,1
1.22,0.002,31,9.96,212.195122,1
1.22,0.002,31,11.44,119.516129,1
1.22,0.004,31,8.04,257.1380597,1
1.22,0.005,23,15.81,251.3114754,1
1.22,0.006,27,17.22,69.18237705,1
1.22,0.005,26,11.55,292.8387097,1
1.22,0.005,28,11.9,125.4200542,1
1.22,0.004,32,7.8,257.1380597,1
1.22,0.006,34,8.3,51.15422886,1
1.22,0.007,30,15.08,326.808,1
1.22,0.008,34,10.89,75.9375,1
1.22,0.005,26,15,195.3170732,1
1.26,0.007,25,26.28,171.5223881,1
1.26,0.005,30,12.96,98.30845771,1
1.26,0.008,33,13.7,78.67669173,1
1.26,0.007,34,13.32,77.03731343,1
1.26,0.008,34,15.2,107.3731343,1
1.36,0.006,56,8.14,163.1964286,1
1.36,0.002,66,2.24,21.46478873,2
1.36,0.005,61,4,9.087470449,2
1.36,0.005,54,7.35,46.2674772,1
1.36,0.002,54,4.75,306.3311258,1
1.36,0.002,24,0,468.7540984,3
1.38,0,46,3.9,202.4238411,1
1.42,0.005,32,18.98,140.6527778,1
1.42,0.007,30,24.08,119.6344828,1
1.42,0.001,45,8.88,43.96523179,1
1.42,0.001,39,8.16,15.94512772,1
1.42,0.004,34,21.56,76.08322148,1
1.42,0.002,31,28.92,234.0472973,1
1.36,0.006,35,9.12,169.7222222,1
1.36,0.003,37,10.32,469.3333333,1
1.36,0.007,35,12.65,216.5693431,1
1.36,0.008,32,22.75,116.7841502,1
1.36,0.008,32,16.77,238.3941606,1
1.36,0.008,33,10.4,197.1,1
1.36,0.008,33,17.28,145.8656934,1
1.33,0.008,20,58.5,359.3333333,1
1.33,0.006,20,49.95,408.0895522,1
1.33,0.007,35,35.1,105.3545735,1
1.33,0.002,33,17.92,185.7481752,1
1.33,0.001,37,18.98,264.2922794,1
1.33,0.005,27,32.04,240.5142857,1
1.33,0.004,28,24.32,211.0628571,1
1.33,0.004,29,39.78,103.2371946,1
1.33,0.003,27,34.68,99.45396825,1
1.33,0.007,37,32.01,62.21428571,1
1.33,0.008,41,28.9,49.275,1
1.33,0.001,44,14.24,172.5539568,1
1.31,0.006,29,7.56,503.4155844,1
1.31,0.008,25,9.36,563.8336887,1
1.31,0.005,32,4.14,1018.378446,1
1.31,0.004,39,2.5,296.358209,1
1.31,0.005,32,13.42,713.1678832,1
1.31,0.005,42,4.6,215.212766,1
1.31,0.007,40,5.39,230.626927,1
1.31,0.005,33,4.56,605.7625899,1
1.31,0.003,35,0,715.1830986,1
1.31,0.005,38,3.77,504.4366197,1
1.31,0.007,42,2.88,514.6126761,1

1.31,0.006,25,8.84,212.1151079,1
1.31,0.008,24,9.49,106.057554,1
1.31,0.006,28,6.02,47.60689655,1
1.31,0.005,29,5.85,62.9137931,1
1.31,0.005,23,9.9,115.4004474,1
1.31,0.003,25,9.1,164.9375,1
1.31,0.002,25,8.84,101.1914894,1
1.31,0.004,27,12.18,47.70456754,1
1.31,0.005,28,5.2,64.26810176,1
1.29,0.001,27,9.48,73.13432836,1
1.29,0,28,7.81,81.94029851,1
1.29,0.004,25,16.95,173.9599237,1
1.29,0.006,23,18.9,430.6382979,1
1.29,0.004,24,20.1,371.7391304,1
1.29,0.008,23,0.75,71.71448276,1
1.29,0.006,22,0.8,108.75,1
1.29,0.008,22,15.9,79.1369863,1
1.29,0.008,21,6.75,91.125,1
1.29,0.008,22,0,130.5,1
1.29,0.009,23,0,147,1
1.22,0.001,15,52.92,392.2439024,1
1.22,0.001,13,63.3,490.304878,1
1.22,0,13,66.56,685.0859504,1
1.22,0.002,17,32.34,520.9552846,1
1.22,0,12,91.08,616.2997658,1
1.39,0.005,33,14.08,144.5517241,1
1.39,0.005,34,15.51,48.375,1
1.39,0.003,41,6.56,75.88965517,1
1.39,0.004,34,8.1,37.68493151,1
1.39,0.005,39,6.08,126.6849315,1
1.39,0.005,38,6.39,158.3561644,1
1.39,0.005,37,10.14,99.42068966,1
1.39,0.003,38,11.7,75.46478873,1

1.35,0.007,29,13.52,43.34285714,1
1.35,0.007,28,13.58,51.42857143,1
1.35,0.008,27,11.9,108.2553191,1
1.35,0.006,26,13.13,98.22302158,1
1.35,0.007,26,9.6,204.4822695,1
1.35,0.008,23,15.84,168,1
1.35,0.006,27,8.7,167.9323944,1
1.35,0.006,23,14.28,131.0503597,1
1.35,0.005,24,9.75,214.7945205,1
1.35,0.005,25,11.5,118.5455782,1
1.35,0.003,24,19.65,103.125,1
1.35,0.003,23,14.56,163.7777778,1
1.36,0.005,23,14.16,166.6849315,1
1.36,0.005,22,16.56,117.4068966,1
1.35,0.003,25,13.35,165,1
1.35,0.005,26,5.1,121.0791367,1
1.25,0.004,32,6,77.44354839,1
1.25,0.004,35,6.21,25.6476378,1
1.25,0.004,37,5.68,20.09448819,1
1.25,0.004,38,4.96,49.58778626,1
1.25,0.005,38,5.36,22.51908397,1
1.25,0.003,37,6.96,32.77272727,1
1.25,0.004,38,7.2,27.51908397,1
1.25,0.004,37,6.4,53.46564885,1
1.25,0.003,38,7.04,32.77272727,1
1.25,0.004,38,7.6,27.51908397,1
1.25,0.006,36,5.85,79.00763359,1
1.25,0.004,37,5.36,26.13636364,1
1.25,0.007,33,5.94,148.7633588,1
1.25,0.004,32,6.3,219.2307692,1
1.25,0.004,28,9.48,117.1534091,1
1.25,0.005,26,10.4,156.2045455,1
1.27,0.006,33,6.7,200.5714286,1
1.27,0.007,34,6.1,735.0447761,1
1.27,0.007,30,9.38,115.5255474,1
1.27,0.009,32,7.7,577.6,1
1.27,0.007,22,47.67,305.4333333,1
1.27,0.007,21,54.78,332.1609023,1
1.27,0.008,18,47.75,218.9553719,1
1.27,0.007,20,42.46,305.7096774,1
1.27,0.009,17,10.36,303.3391304,1
1.27,0.007,17,10.36,180.4344828,1
1.27,0.008,32,7.5,727.3880597,1

1.27,0.005,19,57.73,606.528,1
1.27,0.005,19,58.42,246.796875,1
1.33,0.007,32,8.82,406.4214765,1
1.33,0.006,31,1.82,236.5269017,1
1.33,0.004,28,0,256.2974684,1
1.33,0.006,33,5.28,141.1535049,1
1.33,0.006,17,5.04,902.5942029,1
1.33,0.004,16,0,649.9705882,1
1.33,0.007,27,19.38,620.942029,1
1.33,0.007,31,18.2,307.3828571,1
1.36,0.006,36,6.96,407.5310345,1
1.36,0.007,31,11.2,362.0833333,1
1.37,0.007,27,16.16,592.8510638,1
1.37,0,20,0,1174.892308,1
1.34,0.01,26,27.18,402.4583942,1
1.34,0.005,31,20.44,374.8992806,1
1.34,0.007,25,18.62,501.9826087,1
1.34,0.006,14,0,975.9483204,1
1.41,0.006,36,12.74,91.26484018,1
1.41,0.007,28,19.89,90.24691358,1
1.41,0.007,25,22.68,100.8275862,1
1.22,0.003,21,29.34,224.503937,1
1.22,0.004,21,27.37,99.04761905,1
1.22,0.004,23,27.04,89.58661417,1

1.22,0.002,27,12.09,48.42857143,1

1.22,0.008,26,11.48,114,1
1.22,0.004,23,13.8,76.5483871,1
1.22,0.001,22,4.18,232.8358209,1
1.22,0.002,22,5.5,271.641791,1
1.23,0.002,22,14.74,97.7443609,1
1.23,0.002,24,3.74,231.1111111,1
1.22,0.003,21,26.82,70.86614173,1
1.22,0.003,22,28.26,44.22047244,1
1.22,0.004,22,26.46,50.29296875,1
1.22,0.004,22,28.26,42.56692913,1
1.22,0.003,21,25.33,312.8125,1
1.22,0,23,25.92,56.203125,1
1.22,0.003,19,27.83,193.78125,1
1.22,0.003,21,38.28,39.609375,1
1.22,0.002,19,35.4,86.88888889,1
1.22,0.003,21,37.62,36.83333333,1
1.22,0,17,37.6,171.6585366,1
1.22,0,18,36.86,115.2,1
1.22,0.004,21,25.2,83.22222222,1
1.22,0,20,20.58,87.48031496,1
1.22,0,20,24.84,132.7933884,1
1.22,0,19,28.69,131.704918,1
1.22,0,19,28.69,131.704918,1
1.22,0,19,28.69,131.704918,1
1.22,0,19,28.69,131.704918,1
1.22,0.001,25,13.02,157.5,1
1.22,0.001,26,12.74,101.76,1
1.22,0.006,21,24.31,124.32,1

1.22,0.001,25,12.35,102.5806452,1
1.22,0.005,21,23.8,124.32,1

1.22,0.005,25,11.2,36.03149606,1
1.22,0.002,25,12.45,36.31746032,1
1.22,0.003,27,10.53,32.19047619,1
1.22,0,29,10.2,44.15873016,1
1.22,0.004,22,20.7,307.2,1
1.22,0.005,22,22.95,176.9083969,1
1.22,0.004,20,46.02,248.8888889,1
1.22,0.008,18,48.6,196.4516129,1
1.22,0.009,16,80.85,357.9130435,1
1.22,0.011,13,89.68,357.9130435,1
1.22,0.007,16,67.32,208,1
1.22,0.011,17,62.56,141.7142857,1
1.22,0.006,27,11.77,114.0322581,1
1.22,0.006,30,8.36,72.54,1
1.22,0.004,27,12.12,64.5,1

1.22,0.005,27,12.36,49.86449864,1
1.22,0.005,26,12.74,119.0921409,1
1.22,0.005,22,12.58,361.8425197,1
1.22,0.006,21,11.39,334.3214286,1
1.22,0.005,24,15.9,594.0894309,1
1.22,0.007,21,10.64,496.4415954,1
1.22,0.007,21,13.6,434.1737288,1
1.22,0.006,18,16.72,165.4545455,1
1.22,0,21,18.05,367.5120968,1
1.22,0,26,7.84,224.4253731,1
1.22,0,24,13.44,344.9465649,1
1.22,0,25,16.35,115.037594,1
1.22,0,18,11.76,1744.55,1
1.22,0.003,16,14.85,1019.586207,1
1.22,0.003,13,1.2,336,1
1.22,0.002,13,2.1,287.1946903,1
1.22,0,23,16.49,150.1,1
1.22,0,25,14.56,122.7067669,1
1.27,0.007,22,0,377.915493,1
1.27,0.008,22,0,364.6232877,1
1.27,0.01,24,2.55,320.3070175,1
1.27,0.009,24,0,216.5844156,1
1.31,0.009,27,26.88,370.1923077,1
1.31,0.011,23,11.73,229.5652174,1
1.31,0.015,26,4.5,259.0519481,1
1.26,0.005,24,14.1,116.6956522,1
1.26,0.008,23,15.45,57.92805755,1
1.26,0.004,35,7.8,56.46666667,1
1.26,0.003,36,6.57,37.64444444,1
1.26,0.009,26,11.7,488.1984733,1
1.26,0.01,21,15.6,40.33846154,1
1.26,0.004,34,8.3,31.70149254,1
1.26,0.003,28,12.36,127.1679198,1
1.26,0.005,23,17.08,32.88372093,1
1.26,0.004,25,15.47,217.5384615,1
1.26,0.006,29,11.96,478.2142857,1
1.26,0.005,28,14.04,113.6875,1
1.26,0.005,27,7.28,243.3851852,1
1.26,0.006,25,8.82,190.2222222,1
1.26,0.01,27,8.19,132.9577114,1
1.26,0.007,30,5.16,156.5074627,1
1.26,0.007,30,5.04,156.5074627,1
1.26,0.01,29,5.76,49.46564885,1
1.2,0.009,49,13.68,24.29508197,1
1.2,0.012,51,7.98,66.39669421,1
1.2,0.012,53,7.28,26.52892562,1
1.2,0.008,47,9.8,44.912764,1
1.2,0.007,49,8.4,34.38016529,1
1.2,0.007,50,8.16,50.26666667,1
1.33,0.006,50,9.72,77.22627737,1
1.33,0.006,49,11.4,55.2919708,1
1.33,0.007,52,6.44,34.22826087,1
1.33,0.007,52,6.02,62.68613139,1
1.33,0.005,41,14.3,122.4305556,1
1.33,0.005,38,13.75,52.78389262,1

1.38,0.005,37,6.24,102.585034,1
1.33,0.006,50,9.04,26.0729927,1
1.33,0.006,53,6.86,13.92028986,1
1.43,0.005,44,13.42,48.32214765,1
1.43,0.005,37,9.5,57.58389262,1
1.43,0.005,44,8.46,26.97876448,1
1.43,0.006,43,5.31,45.18120805,1
1.43,0.008,47,7.63,57.96153846,1
1.43,0.008,48,7.42,49.37579618,1
1.43,0.006,63,3.25,7.135135135,2
1.36,0.006,46,5.92,64.0137931,1
1.36,0.008,45,5.12,25.8,1
1.36,0.006,48,6.58,105.1448276,1
1.36,0.003,47,9.54,32.00689655,1
1.37,0.005,59,3.55,43.22535211,1
1.37,0.004,61,2.36,13.94366197,2
1.37,0.005,61,2.04,10.3028169,2
1.37,0.006,63,1.92,10.3028169,2
1.37,0.005,62,2.16,10.3028169,2
1.37,0.007,60,2.32,20.6056338,2
1.35,0.007,58,3.05,12.86170213,1
1.35,0.007,59,3.05,14.87323944,1
1.35,0.007,54,4.5,40.11428571,1
1.35,0.005,51,5.34,101.6058394,1
1.35,0.007,52,5.88,80.8057554,1

1.35,0.007,48,5.67,35.49295775,1
1.35,0.006,50,1.26,65.40792541,1
1.35,0.007,47,8,132.7659574,1
1.35,0.007,47,10.64,93.23741007,1

1.25,0.005,40,5.67,80.40909091,1

1.26,0.005,34,9.18,87.40310078,1
1.26,0.004,32,10.08,80.5511811,1
1.25,0.005,31,13.75,32.61417323,1
1.25,0.008,32,14.3,28.91338583,1
1.25,0.004,30,12.1,143.4375,1
1.25,0.004,32,10.7,146.875,1
1.25,0.004,32,8.4,78.46875,1
1.25,0.004,36,9.6,156.9375,1
1.15,0.006,19,24.14,260.3801653,1
1.15,0.007,20,16.83,100.195122,1
1.15,0.008,20,5.95,65.728,1
1.15,0.006,23,16.2,153.7131148,1
1.15,0.005,20,23.8,216.9834711,1

1.15,0.005,22,19.8,266.7692308,1
1.12,0.004,24,13.65,179.1304348,1

1.12,0.006,24,8.32,168.9130435,1
1.12,0.006,25,9.49,168.9130435,1

1.12,0.004,23,16.9,109.4736842,1
1.2,0.003,20,9.86,164.808,1
1.18,0.003,26,15.4,103.2156863,1
1.18,0,24,12.07,152.862069,1
1.18,0.007,25,14.17,63.33833333,1
1.18,0.007,26,13.32,36.66666667,1
1.18,0.005,25,11.06,309.0731707,1
1.18,0.004,25,9.75,355.6451613,1
1.18,0.008,21,15.45,283.1818182,1
1.18,0.002,24,14.55,445,1
1.19,0.004,26,8.82,402.2857143,1
1.19,0.007,23,11.85,420,1
1.19,0.007,24,15.54,171.6666667,1
1.19,0.002,25,12.09,55.37634409,1

1.19,0.003,23,24.15,43.74603175,1
1.19,0.006,26,16.56,135.5409836,1
1.19,0.006,24,21.7,43.74603175,1
1.19,0.007,27,15.6,66.66115702,1
1.19,0.009,27,16.08,65.45454545,1
1.15,0.006,20,17.12,124.1898305,1
1.15,0.006,20,15.04,152.4793388,1
1.15,0.006,20,18.36,144.0813559,1
1.15,0.005,20,18.02,139.9034483,1
1.15,0.007,20,16.32,263.6271186,1
1.15,0.005,21,20.96,107.8947368,1

1.15,0.002,19,12.06,467.4380165,1

1.12,0.006,17,23.2,154.5945946,1
1.12,0.007,21,16.83,350.6086957,1
1.12,0.007,16,22.88,161.2,1
1.12,0.007,23,13.8,42.19827586,1
1.12,0.005,26,13.13,43.06034483,1
1.12,0.004,26,10.08,51.92307692,1
1.12,0.006,25,12.09,22.47457627,1
1.15,0.009,17,13.6,518.5434174,1
1.15,0.009,15,12.88,547.4,1
1.15,0.009,21,18.19,564.4,1
1.15,0.008,15,14.96,200.8695652,1
1.15,0.01,22,17.34,363.375,1
1.15,0.008,19,13.43,198.9837398,1
1.15,0.008,24,16.16,911.4418605,1
1.15,0.009,25,17.51,845.4461538,1
1.15,0.008,23,16.15,992.3863636,1
1.15,0.007,21,3.91,2912.820513,1
1.14,0.01,19,34.16,1524.933824,1
1.14,0.011,18,44.7,1040.734694,1
1.36,0.005,24,6.24,230,1
1.36,0.005,25,6.4,255.9701493,1
1.36,0.005,39,3.6,123.9276316,1
1.37,0.005,36,4.5,121.5604027,1
1.38,0.007,34,10.5,75.94520548,1
1.38,0.007,34,9.6,86.88493151,1
1.38,0.007,32,7.26,178.6416667,1
1.38,0.006,33,6.7,293.3576389,1
1.38,0.008,28,4.55,295.6521739,1
1.38,0.007,28,2.24,223.8031915,1
1.26,0.005,21,9.66,709.7130326,1
1.25,0.005,22,0,163.2691511,1
1.25,0.005,22,0,220.7844203,1
1.25,0.005,21,9.89,611.4285714,1
1.25,0.007,23,11.55,398.9507299,1
1.25,0.005,23,16.28,587.9055344,1
1.25,0.004,22,18.7,477.6293469,1
1.25,0.005,22,19.55,605.1682692,1
1.25,0.006,18,17.01,399.6900826,1
1.28,0.004,20,4.18,646.8270677,1
1.28,0.005,19,4.56,460.4673311,1
1.28,0.004,22,13.86,536.2846482,1
1.28,0.005,22,19.32,554.9145299,1
1.28,0.007,24,18,323.5941476,1
1.28,0.005,22,20.68,589.6978022,1
1.28,0.005,25,14.6,237.0515267,1
1.28,0.008,17,23.49,446.4936248,1
1.28,0.004,30,11.9,231.8174006,1
1.28,0.005,32,8.1,128.4444444,1
1.28,0.004,31,6.29,204.6410774,1
1.28,0.004,31,4.93,223.99071,1
1.28,0.003,30,7.22,246.2316176,1
1.28,0.003,27,2.09,297.6666667,1
1.28,0.004,21,11.96,584.1407407,1
1.28,0.003,14,0,578.3081897,1
1.28,0.005,22,14.52,629.7777778,1
1.28,0.004,22,22.08,468.945177,1
1.28,0.005,26,16.4,235.2556818,1
1.28,0.01,16,22.62,456.2672176,1
1.28,0.005,29,10.24,155.6578947,1
1.28,0.004,29,11.36,153.3834586,1
1.28,0.003,32,5.6,179.6848485,1
1.28,0.004,33,5.85,162.5128676,1
1.28,0.004,29,9.86,185.1948052,1
1.28,0.005,36,7.84,200.0057554,1
1.28,0.003,30,12,345.1694352,2
1.28,0.003,29,15.84,572.8168203,3
1.28,0.003,30,18.06,648,3
1.28,0.003,34,8.64,1200.158562,3
1.28,0.004,36,0,1117.594937,3
1.31,0.005,27,17.08,348.2627737,1
1.31,0.006,19,23.37,319.8461538,1
1.32,0.005,28,17.29,174.0289855,1
1.32,0.005,33,13.3,90.64748201,1
1.32,0.002,25,16.5,212.2571429,1
1.32,0.004,24,18,153.7751825,1
1.32,0.003,20,6.09,317.915493,1
1.32,0.003,19,9.2,327.7389277,1
1.32,0.003,21,12.6,214.084507,1
1.32,0,26,5.6,260.4081633,1
1.32,0.002,22,14.82,174.6253746,1
1.32,0.002,20,16.8,149.7619048,1
1.32,0.002,26,11.25,135.0422535,1
1.32,0.002,29,12.9,149.8104449,1
1.32,0.003,28,11.76,110.4891165,1
1.32,0.004,23,19.65,25.80869565,1
1.33,0.004,30,7.95,216.1990741,1
1.34,0.003,29,8.32,219.834965,1
1.34,0.004,28,10.45,297.3233766,1
1.34,0.002,30,7.68,245.4464789,1

1.44,0.008,61,3.04,18.37837838,2
1.21,0.005,32,2.6,355.1908397,1
1.21,0.006,27,3.96,151.9186047,1
1.21,0.009,24,7.35,416.7073171,1
1.21,0.01,21,5.51,487.4603175,1
1.21,0.008,24,6.97,274.8571429,1
1.21,0.007,25,6.08,653.3193277,1
1.21,0.006,25,6.6,387.6175214,1
1.21,0.007,26,1.54,273.1780627,1
1.21,0.003,24,0,1207,2
1.21,0.003,24,0,1207,1
1.21,0.008,27,6.16,264.8026316,1
1.21,0.008,28,7.98,444.7413793,1
1.21,0.009,34,6.93,276.6666667,1
1.21,0.007,28,7.28,280.5982906,1
1.21,0.009,37,6.6,270.7906977,1
1.21,0.009,39,7.74,500.9090909,1
1.21,0.008,37,6.75,618.0276923,1
1.21,0.01,41,5.28,404.6715328,1

1.42,0.006,59,2.52,40.02580645,2
1.42,0.006,58,2.44,20.01290323,2
1.42,0.007,49,5.22,956.4155844,1
1.42,0.008,41,6.36,3826.644295,1
1.42,0.008,41,6.44,1040.175,1
1.42,0.009,44,8.55,2215.816993,1
1.42,0.006,32,0,3147.112676,1
1.42,0.005,25,0,2433.157895,1
1.45,0.001,50,5.11,12.7016129,2
